log_id,timestamp,user_id,user_name,user_role,action,table_affected,record_id,old_value,new_value,ip_address,device_info,status,error_message
AL-000064,2023-01-16 06:40:00,USER-001,Rajesh Kumar,Safety Officer,Delete,corrective_actions,REC-02433,old_64,new_89,192.168.184.176,Windows 10,Success,
AL-000065,2023-01-09 09:03:00,USER-001,Rajesh Kumar,Safety Officer,Reject,mine_master,REC-00303,old_34,new_26,192.168.255.225,Linux,Success,
AL-000066,2023-08-07 12:05:00,USER-003,Amit Patel,Labour Inspector,Create,grievances,REC-04860,old_28,new_14,192.168.225.176,Linux,Success,
AL-000067,2023-07-26 07:10:00,USER-002,Sita Devi,Environmental Officer,Approve,environmental_readings,REC-01026,old_60,new_21,192.168.33.86,Linux,Success,
AL-000068,2023-05-22 15:14:00,USER-003,Amit Patel,Labour Inspector,Sync,documents,REC-03393,old_84,new_16,192.168.130.101,Linux,Success,
AL-000069,2023-10-16 04:02:00,USER-002,Sita Devi,Environmental Officer,Delete,inspections,REC-00134,old_8,new_20,192.168.25.231,Windows 10,Success,
AL-000070,2023-10-02 16:14:00,USER-002,Sita Devi,Environmental Officer,Delete,contractors,REC-08288,old_19,new_9,192.168.250.27,Linux,Success,
AL-000071,2023-02-26 08:35:00,USER-002,Sita Devi,Environmental Officer,Delete,corrective_actions,REC-07522,old_16,new_72,192.168.26.121,Windows 10,Failed,Permission denied
AL-000072,2023-07-23 21:21:00,USER-001,Rajesh Kumar,Safety Officer,Reject,corrective_actions,REC-09848,old_86,new_1,192.168.139.44,Mac OS,Success,
AL-000073,2023-11-14 13:58:00,USER-001,Rajesh Kumar,Safety Officer,Sync,grievances,REC-06666,old_82,new_80,192.168.48.111,Mac OS,Success,
AL-000074,2023-02-06 09:54:00,USER-003,Amit Patel,Labour Inspector,Create,equipment,REC-05892,old_11,new_5,192.168.172.64,Windows 10,Success,
AL-000075,2023-10-12 16:18:00,USER-002,Sita Devi,Environmental Officer,Approve,inspections,REC-09037,old_23,new_51,192.168.175.115,Linux,Success,
AL-000076,2023-06-02 22:56:00,USER-003,Amit Patel,Labour Inspector,Create,environmental_readings,REC-06257,old_6,new_63,192.168.49.246,Mac OS,Success,
AL-000077,2023-10-31 16:27:00,USER-002,Sita Devi,Environmental Officer,Sync,grievances,REC-09324,old_30,new_62,192.168.113.199,Mac OS,Success,
AL-000078,2023-04-24 14:13:00,USER-003,Amit Patel,Labour Inspector,Sync,contractors,REC-02087,old_83,new_48,192.168.4.160,Linux,Success,
AL-000079,2023-10-22 04:33:00,USER-003,Amit Patel,Labour Inspector,Approve,mine_master,REC-09465,old_31,new_72,192.168.153.168,Windows 10,Success,
AL-000080,2023-12-13 18:32:00,USER-003,Amit Patel,Labour Inspector,Create,grievances,REC-09229,old_83,new_51,192.168.232.189,Linux,Success,
AL-000081,2023-04-15 12:24:00,USER-001,Rajesh Kumar,Safety Officer,Reject,worker_attendance,REC-08658,old_25,new_51,192.168.32.223,Linux,Success,
AL-000082,2023-07-06 18:32:00,USER-002,Sita Devi,Environmental Officer,Sync,grievances,REC-05449,old_30,new_38,192.168.160.45,Windows 10,Success,
AL-000083,2023-07-08 10:17:00,USER-003,Amit Patel,Labour Inspector,Delete,incidents,REC-08958,old_26,new_48,192.168.225.140,Windows 10,Success,
AL-000084,2023-04-05 15:14:00,USER-002,Sita Devi,Environmental Officer,Logout,,,old_89,new_38,192.168.165.216,Windows 10,Success,
AL-000085,2023-05-17 07:06:00,USER-001,Rajesh Kumar,Safety Officer,Approve,worker_attendance,REC-09663,old_38,new_83,192.168.252.153,Mac OS,Success,
AL-000086,2023-03-22 11:03:00,USER-002,Sita Devi,Environmental Officer,Approve,mine_master,REC-01297,old_51,new_27,192.168.247.168,Windows 10,Success,
AL-000087,2023-09-28 23:04:00,USER-003,Amit Patel,Labour Inspector,Delete,worker_attendance,REC-00012,old_26,new_33,192.168.84.140,Mac OS,Success,
AL-000088,2023-01-26 01:32:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_43,new_11,192.168.246.16,Windows 10,Success,
AL-000089,2023-12-30 04:36:00,USER-001,Rajesh Kumar,Safety Officer,Delete,inspections,REC-01635,old_34,new_65,192.168.78.204,Mac OS,Success,
AL-000090,2023-09-28 03:33:00,USER-003,Amit Patel,Labour Inspector,Approve,production_monthly,REC-01381,old_85,new_27,192.168.226.18,Windows 10,Success,
AL-000091,2023-08-17 05:26:00,USER-002,Sita Devi,Environmental Officer,Approve,incidents,REC-03643,old_41,new_100,192.168.84.119,Windows 10,Success,
AL-000092,2023-06-10 04:58:00,USER-001,Rajesh Kumar,Safety Officer,Reject,inspections,REC-00013,old_3,new_62,192.168.171.141,Mac OS,Success,
AL-000093,2023-06-04 16:00:00,USER-002,Sita Devi,Environmental Officer,Reject,inspections,REC-05901,old_4,new_38,192.168.125.86,Windows 10,Success,
AL-000094,2023-02-04 12:10:00,USER-003,Amit Patel,Labour Inspector,Sync,environmental_readings,REC-03757,old_94,new_19,192.168.55.116,Mac OS,Success,
AL-000095,2023-05-05 04:31:00,USER-001,Rajesh Kumar,Safety Officer,Create,worker_attendance,REC-03679,old_45,new_79,192.168.118.145,Mac OS,Success,
AL-000096,2023-07-03 18:29:00,USER-003,Amit Patel,Labour Inspector,Reject,inspections,REC-02747,old_89,new_85,192.168.92.53,Windows 10,Success,
AL-000097,2023-11-26 10:14:00,USER-003,Amit Patel,Labour Inspector,Create,inspections,REC-01359,old_84,new_16,192.168.196.184,Mac OS,Success,
AL-000098,2023-12-03 04:34:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_81,new_88,192.168.26.89,Linux,Success,
AL-000099,2023-07-25 19:43:00,USER-001,Rajesh Kumar,Safety Officer,Reject,worker_attendance,REC-01417,old_29,new_19,192.168.152.174,Mac OS,Success,
AL-000100,2023-12-01 22:05:00,USER-003,Amit Patel,Labour Inspector,Sync,incidents,REC-01258,old_87,new_41,192.168.32.107,Mac OS,Success,
AL-000101,2023-12-17 07:01:00,USER-001,Rajesh Kumar,Safety Officer,Create,mine_master,REC-04671,old_45,new_4,192.168.121.26,Linux,Success,
AL-000102,2023-03-30 19:52:00,USER-001,Rajesh Kumar,Safety Officer,Update,environmental_readings,REC-07190,old_17,new_10,192.168.149.61,Mac OS,Success,
AL-000103,2023-11-19 14:16:00,USER-001,Rajesh Kumar,Safety Officer,Create,equipment,REC-02033,old_48,new_79,192.168.242.213,Windows 10,Success,
AL-000104,2023-05-30 20:20:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_57,new_77,192.168.45.84,Windows 10,Success,
AL-000105,2023-03-17 13:51:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_28,new_95,192.168.225.38,Mac OS,Failed,Database timeout
AL-000106,2023-05-07 04:50:00,USER-003,Amit Patel,Labour Inspector,Reject,inspections,REC-05498,old_28,new_30,192.168.10.107,Linux,Success,
AL-000107,2023-09-19 23:43:00,USER-003,Amit Patel,Labour Inspector,Sync,incidents,REC-07519,old_23,new_33,192.168.183.107,Linux,Success,
AL-000108,2023-12-04 06:15:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_64,new_21,192.168.149.84,Windows 10,Success,
AL-000109,2023-01-09 17:45:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_37,new_99,192.168.164.135,Mac OS,Success,
AL-000110,2023-08-29 02:04:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_49,new_4,192.168.133.23,Mac OS,Success,
AL-000111,2023-08-05 15:44:00,USER-003,Amit Patel,Labour Inspector,Reject,equipment,REC-01182,old_68,new_69,192.168.200.16,Windows 10,Success,
AL-000112,2023-03-07 02:17:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_39,new_24,192.168.68.8,Mac OS,Success,
AL-000113,2023-08-25 15:36:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_19,new_6,192.168.81.7,Linux,Success,
AL-000114,2023-09-06 21:45:00,USER-002,Sita Devi,Environmental Officer,Approve,grievances,REC-03572,old_34,new_22,192.168.181.188,Mac OS,Success,
AL-000115,2023-01-18 09:50:00,USER-003,Amit Patel,Labour Inspector,Approve,documents,REC-08157,old_72,new_25,192.168.153.87,Windows 10,Success,
AL-000116,2023-06-26 05:34:00,USER-001,Rajesh Kumar,Safety Officer,Delete,incidents,REC-07778,old_84,new_32,192.168.204.83,Linux,Success,
AL-000117,2023-05-15 02:47:00,USER-001,Rajesh Kumar,Safety Officer,Reject,equipment,REC-09626,old_9,new_4,192.168.170.76,Mac OS,Success,
AL-000118,2023-06-03 15:45:00,USER-002,Sita Devi,Environmental Officer,Reject,contractors,REC-01566,old_98,new_36,192.168.201.229,Linux,Success,
AL-000119,2023-01-04 19:57:00,USER-003,Amit Patel,Labour Inspector,Approve,worker_attendance,REC-07904,old_49,new_7,192.168.240.131,Mac OS,Success,
AL-000120,2023-06-08 15:05:00,USER-001,Rajesh Kumar,Safety Officer,Delete,environmental_readings,REC-06843,old_69,new_73,192.168.232.157,Linux,Success,
AL-000121,2023-12-02 18:55:00,USER-003,Amit Patel,Labour Inspector,Create,documents,REC-04084,old_46,new_64,192.168.62.25,Mac OS,Success,
AL-000122,2023-01-04 22:35:00,USER-003,Amit Patel,Labour Inspector,Update,contractors,REC-06292,old_89,new_92,192.168.215.204,Mac OS,Failed,Invalid ID
AL-000123,2023-10-27 00:08:00,USER-002,Sita Devi,Environmental Officer,Approve,environmental_readings,REC-04048,old_78,new_64,192.168.88.23,Windows 10,Success,
AL-000124,2023-05-27 19:20:00,USER-003,Amit Patel,Labour Inspector,Update,inspections,REC-09622,old_88,new_79,192.168.226.167,Linux,Success,
AL-000125,2023-08-11 16:42:00,USER-002,Sita Devi,Environmental Officer,Reject,contractors,REC-08667,old_53,new_77,192.168.12.129,Windows 10,Success,
AL-000126,2023-12-28 18:29:00,USER-001,Rajesh Kumar,Safety Officer,Create,mine_master,REC-02958,old_10,new_5,192.168.29.32,Mac OS,Success,
AL-000127,2023-08-08 08:16:00,USER-002,Sita Devi,Environmental Officer,Update,environmental_readings,REC-01679,old_25,new_13,192.168.225.242,Windows 10,Success,
AL-000128,2023-01-11 16:56:00,USER-001,Rajesh Kumar,Safety Officer,Approve,corrective_actions,REC-09258,old_61,new_60,192.168.82.48,Linux,Success,
AL-000129,2023-07-30 03:45:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_76,new_65,192.168.111.180,Windows 10,Success,
AL-000130,2023-08-06 04:09:00,USER-001,Rajesh Kumar,Safety Officer,Sync,corrective_actions,REC-06748,old_44,new_1,192.168.237.220,Windows 10,Success,
AL-000131,2023-08-15 11:01:00,USER-001,Rajesh Kumar,Safety Officer,Sync,corrective_actions,REC-02691,old_43,new_96,192.168.227.51,Linux,Success,
AL-000132,2023-12-25 18:21:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_28,new_16,192.168.250.12,Mac OS,Success,
AL-000133,2023-07-03 04:27:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_86,new_13,192.168.39.112,Linux,Success,
AL-000134,2023-08-14 16:20:00,USER-002,Sita Devi,Environmental Officer,Sync,grievances,REC-05027,old_83,new_1,192.168.1.21,Linux,Success,
AL-000135,2023-02-03 14:19:00,USER-003,Amit Patel,Labour Inspector,Approve,documents,REC-03445,old_39,new_47,192.168.198.157,Linux,Success,
AL-000136,2023-07-04 12:35:00,USER-003,Amit Patel,Labour Inspector,Create,incidents,REC-08175,old_35,new_53,192.168.105.24,Mac OS,Success,
AL-000137,2023-10-22 18:25:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_72,new_5,192.168.5.129,Windows 10,Success,
AL-000138,2023-02-12 04:24:00,USER-003,Amit Patel,Labour Inspector,Update,grievances,REC-06281,old_16,new_17,192.168.107.65,Mac OS,Success,
AL-000139,2023-04-05 15:05:00,USER-003,Amit Patel,Labour Inspector,Update,worker_attendance,REC-02086,old_24,new_90,192.168.153.171,Mac OS,Success,
AL-000140,2023-12-06 16:55:00,USER-001,Rajesh Kumar,Safety Officer,Logout,,,old_8,new_49,192.168.71.63,Windows 10,Success,
AL-000141,2023-05-28 23:31:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_38,new_72,192.168.81.65,Mac OS,Success,
AL-000142,2023-01-12 21:08:00,USER-002,Sita Devi,Environmental Officer,Update,equipment,REC-03031,old_65,new_5,192.168.30.187,Linux,Success,
AL-000143,2023-08-28 00:16:00,USER-001,Rajesh Kumar,Safety Officer,Update,incidents,REC-00822,old_26,new_85,192.168.34.31,Windows 10,Success,
AL-000144,2023-04-24 23:52:00,USER-003,Amit Patel,Labour Inspector,Create,incidents,REC-05347,old_38,new_15,192.168.175.207,Windows 10,Success,
AL-000145,2023-08-29 08:33:00,USER-003,Amit Patel,Labour Inspector,Create,production_monthly,REC-09856,old_29,new_57,192.168.112.73,Mac OS,Success,
AL-000146,2023-04-06 23:59:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_64,new_8,192.168.71.217,Windows 10,Success,
AL-000147,2023-11-15 06:52:00,USER-002,Sita Devi,Environmental Officer,Approve,corrective_actions,REC-05826,old_4,new_49,192.168.165.230,Mac OS,Success,
AL-000148,2023-11-16 05:52:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_86,new_75,192.168.142.104,Windows 10,Success,
AL-000149,2023-03-07 22:54:00,USER-001,Rajesh Kumar,Safety Officer,Approve,incidents,REC-01280,old_76,new_73,192.168.89.207,Windows 10,Success,
AL-000150,2023-02-18 00:29:00,USER-002,Sita Devi,Environmental Officer,Sync,worker_attendance,REC-05576,old_1,new_58,192.168.192.222,Mac OS,Success,
AL-000151,2023-04-26 20:28:00,USER-003,Amit Patel,Labour Inspector,Update,production_monthly,REC-03894,old_83,new_52,192.168.239.67,Mac OS,Success,
AL-000152,2023-02-18 11:21:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_76,new_22,192.168.190.106,Mac OS,Success,
AL-000153,2023-09-14 18:07:00,USER-002,Sita Devi,Environmental Officer,Update,corrective_actions,REC-00392,old_61,new_3,192.168.11.62,Linux,Success,
AL-000154,2023-03-10 10:44:00,USER-003,Amit Patel,Labour Inspector,Sync,inspections,REC-01248,old_39,new_48,192.168.167.219,Windows 10,Success,
AL-000155,2023-09-05 16:51:00,USER-002,Sita Devi,Environmental Officer,Reject,equipment,REC-07787,old_99,new_40,192.168.54.234,Linux,Success,
AL-000156,2023-08-11 14:44:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_2,new_71,192.168.233.163,Mac OS,Success,
AL-000157,2023-11-04 22:58:00,USER-001,Rajesh Kumar,Safety Officer,Update,documents,REC-01309,old_95,new_12,192.168.220.176,Linux,Success,
AL-000158,2023-02-13 15:10:00,USER-002,Sita Devi,Environmental Officer,Reject,production_monthly,REC-08526,old_17,new_95,192.168.83.56,Mac OS,Success,
AL-000159,2023-01-26 16:22:00,USER-001,Rajesh Kumar,Safety Officer,Approve,corrective_actions,REC-07901,old_95,new_37,192.168.40.78,Linux,Success,
AL-000160,2023-05-05 09:23:00,USER-001,Rajesh Kumar,Safety Officer,Reject,worker_attendance,REC-08222,old_23,new_78,192.168.254.1,Windows 10,Success,
AL-000161,2023-02-24 16:12:00,USER-002,Sita Devi,Environmental Officer,Reject,grievances,REC-02001,old_57,new_2,192.168.53.104,Linux,Success,
AL-000162,2023-10-05 00:21:00,USER-002,Sita Devi,Environmental Officer,Login,,,old_99,new_55,192.168.196.24,Mac OS,Success,
AL-000163,2023-01-31 11:17:00,USER-002,Sita Devi,Environmental Officer,Reject,corrective_actions,REC-09355,old_23,new_9,192.168.12.32,Linux,Success,
AL-000164,2023-03-19 08:09:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_89,new_40,192.168.167.218,Windows 10,Failed,Invalid ID
AL-000165,2023-12-21 12:04:00,USER-003,Amit Patel,Labour Inspector,Update,grievances,REC-07340,old_61,new_76,192.168.53.158,Linux,Success,
AL-000166,2023-03-18 06:47:00,USER-003,Amit Patel,Labour Inspector,Login,,,old_37,new_20,192.168.234.173,Windows 10,Success,
AL-000167,2023-08-06 23:39:00,USER-002,Sita Devi,Environmental Officer,Delete,incidents,REC-04292,old_96,new_93,192.168.34.184,Linux,Success,
AL-000168,2023-04-10 11:23:00,USER-003,Amit Patel,Labour Inspector,Logout,,,old_1,new_1,192.168.58.167,Linux,Success,
AL-000169,2023-12-23 03:50:00,USER-003,Amit Patel,Labour Inspector,Delete,equipment,REC-07819,old_76,new_33,192.168.133.3,Mac OS,Success,
AL-000170,2023-02-26 06:27:00,USER-002,Sita Devi,Environmental Officer,Approve,grievances,REC-01425,old_8,new_77,192.168.10.113,Windows 10,Success,
AL-000171,2023-04-09 10:41:00,USER-001,Rajesh Kumar,Safety Officer,Reject,documents,REC-04172,old_86,new_36,192.168.221.205,Windows 10,Success,
AL-000172,2023-07-09 17:43:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_70,new_32,192.168.203.234,Windows 10,Success,
AL-000173,2023-03-25 00:05:00,USER-001,Rajesh Kumar,Safety Officer,Login,,,old_40,new_29,192.168.245.203,Mac OS,Success,
AL-000174,2023-08-30 12:57:00,USER-001,Rajesh Kumar,Safety Officer,Reject,grievances,REC-05255,old_64,new_27,192.168.74.90,Windows 10,Success,
AL-000175,2023-12-03 11:49:00,USER-001,Rajesh Kumar,Safety Officer,Sync,worker_attendance,REC-05942,old_97,new_52,192.168.194.98,Linux,Success,
AL-000176,2023-04-22 02:13:00,USER-002,Sita Devi,Environmental Officer,Delete,environmental_readings,REC-07599,old_31,new_8,192.168.26.121,Windows 10,Success,
